"","participant_private_id","testexpt","normal","SF"
"1",1531474,"low",750.347340422524,828.781489358393
"2",1531487,"low",3818.70212765957,2398.55319148936
"3",1531488,"low",634.918936166635,579.327872330125
"4",1531494,"low",6785.6170212766,7582.85106382979
"5",1531503,"low",472.765212765982,545.987021276543
"6",1531504,"low",1252.32882978715,1178.54106382962
"7",1531518,"low",1271.67808508966,1986.75340425441
"8",1531520,"low",597.274042552949,882.614042553425
"9",1531522,"low",830.23351063906,1183.55659574538
"10",1531528,"low",3981.91489361702,4862.42553191489
"11",1531532,"low",1272.08553191491,1855.20085106384
"12",1531534,"low",933.971063829844,1221.37765957473
"13",1531536,"low",1068.80361702127,1110.18999999999
"14",1531537,"low",1568.77510638182,1816.03744680909
"15",1531542,"low",621.518404255225,659.149042561036
"16",1531544,"low",1993.14893617021,2980.87234042553
"17",1531546,"low",4649.74117021577,906.50148936696
"18",1531550,"low",1012.83180853352,1061.71287235586
"19",1531551,"low",559.501702127547,621.354148936162
"20",1531554,"low",909.561595744715,806.956914893664
"21",1531555,"low",866.634787208936,1072.94936174963
"22",1531556,"low",1423.15468085841,1594.45904255003
"23",1531557,"low",2070.1232978658,1435.36691491968
"24",1531560,"low",1207.67351064058,1386.87989361921
"25",1531561,"low",399.765957446808,359.872340425532
"26",1531566,"low",1034.51574467955,1161.45925531709
"27",1531569,"low",834.633723406636,942.398297867956
"28",1531571,"low",8044.97989360738,2436.19957447864
"29",1531572,"low",1915.90734042148,1163.617340402
"30",1531574,"low",317.074893612137,357.943404254137
"31",1531581,"low",1199.53127659392,1128.45255319212
"32",1531585,"low",1369.04755318686,1729.85914893488
"33",1531586,"low",602.772127659648,534.095531914918
"34",1531588,"low",670.176595743892,631.493617019782
"35",1531590,"low",651.431276590534,634.85010637545
"36",1531591,"low",1062.05989361959,1112.41648934702
"37",1531592,"low",1043.82978723404,1097.93617021277
"38",1531593,"low",14168.4573404254,5173.01457446794
"39",1531600,"low",1257.0164893617,1795.68723404255
"40",1531605,"low",829.945638297872,1095.66287234043
"41",1531607,"low",910.446808510638,1038.78723404255
"42",1531612,"high",529.575638297172,943.878617021255
"43",1531613,"low",626.995638298971,697.774787234053
"44",1531615,"low",636.100744650243,734.824893619627
"45",1531620,"low",585.140319142312,842.281914890764
"46",1531621,"low",685.441702128106,684.281276597795
"47",1531622,"low",511.97585105361,582.137659578485
"48",1531625,"low",493.733085106387,1681.31829787238
"49",1531626,"low",4054.23053191043,3807.74021276491
"50",1531628,"low",805.874468085057,758.308085106364
"51",1531632,"low",1004.88670212663,1070.65989362433
"52",1531634,"high",1696.72925533489,3307.26085107853
"53",1531638,"low",885.702127659574,611.617021276596
"54",1531639,"low",571.495531915756,653.242553194162
"55",1531640,"low",895.703829789628,893.903617022009
"56",1531643,"low",3492.45851064854,2727.24148940216
"57",1531644,"low",458.05755319158,549.436276599002
"58",1531645,"low",626.404255319149,725.382978723404
"59",1531647,"low",13445.7437234056,4889.26382978761
"60",1531654,"low",742.709148938995,729.075531912423
"61",1531656,"high",1475.91489361702,1460.63829787234
"62",1531657,"low",653.127659574469,729.702127659573
"63",1531663,"low",1720.4285106483,1883.24808506691
"64",1531664,"low",660.941914900483,685.042872348741
"65",1531665,"low",507.306595744244,1043.90978723429
"66",1531666,"low",690.185212765503,594.180957453841
"67",1531669,"low",953.988510637886,862.514042553735
"68",1531670,"low",4698.92553191606,4767.67659574274
"69",1531671,"low",192.591702128374,396.758191491244
"70",1531677,"low",1257.69563831706,1678.68670211867
"71",1531679,"low",808.102872341554,1645.27585108745
"72",1531680,"low",1960.77212765615,1692.3858510687
"73",1531684,"low",1863.57734042551,935.754574468039
"74",1531688,"low",412.472553206905,413.456914899375
"75",1531691,"low",1093.72340425532,1043.68085106383
"76",1531692,"low",826.031276604478,1171.62127659577
"77",1531693,"low",768.042553191489,973.851063829787
"78",1531695,"low",626.468085106383,764.574468085106
"79",1531696,"low",2047.36170212766,1719.72340425532
"80",1531697,"low",1745.97531914751,2060.94936169981
"81",1531698,"low",1354.98414893648,1724.66478723421
"82",1531699,"high",837.062446806738,1041.5690425558
"83",1531702,"low",2615.06148936206,795.127021276982
"84",1531704,"low",999.091489349512,1273.06585107246
"85",1531705,"high",950.896489361494,806.552659571567
"86",1531706,"low",468.122127662819,498.055638299581
"87",1531709,"low",889.651595746127,1146.22765956595
"88",1531712,"low",711.276595744681,650.361702127659
"89",1531715,"low",1079.89361702128,1161.06382978723
"90",1531716,"low",613.833085106307,477.105957446761
"91",1531718,"low",1116.97627659367,815.1920212834
"92",1531720,"low",464.221382989211,549.825957431359
"93",1531721,"low",1948.72638297871,2845.10308510633
"94",1531722,"low",564.803297879135,752.889255314392
"95",1531723,"low",1156.54159575314,1157.44063828854
"96",1531725,"low",233.346063827605,255.740425530251
"97",1531730,"high",544.725531914894,563.685106382979
"98",1531731,"low",825.439574454535,837.70691488493
"99",1531732,"high",2533.22148936531,3992.72904255207
"100",1531733,"low",1806.53191489362,2840.59574468085
"101",1531734,"low",964.761382978821,1207.86021276442
"102",1531735,"low",1386.72340425532,1632.57446808511
"103",1531736,"low",657.755000009003,765.222553189775
"104",1531738,"low",1845.37351063726,1862.36042553216
"105",1531739,"low",861.732234043921,927.389680878556
"106",1531740,"low",368.544680849114,411.426170215139
"107",1531741,"low",379.629255321986,499.616382975488
"108",1531742,"low",1196.753297873,491.541170215412
"109",1531744,"low",1004.10638297747,1204.78723404193
"110",1531745,"low",590.95744680851,610.191489361701
